Timestamp,Operation,Original size (bytes),Encrypted size (bytes),Encryption time (s),Transmission time (s),Total time (s)
2024-12-06T20:13:32.832536,send_encrypted,314,504,0.002001,1.949591,1.951592
2024-12-06T20:14:08.211543,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:14:08.595180,send_encrypted,314,504,0.000998,0.381603,0.382601
2024-12-06T20:14:45.786227,encrypt,313,504,0.000000,0.000000,0.000000
2024-12-06T20:14:45.982024,send_encrypted,313,504,0.001508,0.188692,0.190200
2024-12-06T20:15:25.809344,encrypt,314,504,0.001009,0.000000,0.001009
2024-12-06T20:15:27.003709,send_encrypted,314,504,0.002006,1.192369,1.194375
2024-12-06T20:16:04.076758,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:16:04.480690,send_encrypted,314,504,0.002007,0.400944,0.402951
2024-12-06T20:16:40.621809,encrypt,312,504,0.000999,0.000000,0.000999
2024-12-06T20:16:42.069767,send_encrypted,312,504,0.002000,1.445952,1.447952
2024-12-06T20:17:21.193894,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T20:17:21.968592,send_encrypted,312,504,0.002003,0.771639,0.773642
2024-12-06T20:18:00.352445,encrypt,313,504,0.001002,0.000000,0.001002
2024-12-06T20:18:02.964174,send_encrypted,313,504,0.002015,2.604710,2.606725
2024-12-06T20:18:36.878900,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T20:18:37.391582,send_encrypted,312,504,0.000999,0.507640,0.508639
2024-12-06T20:19:13.381732,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T20:19:14.051882,send_encrypted,312,504,0.001004,0.664242,0.665247
2024-12-06T20:19:48.968333,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:19:49.631662,send_encrypted,314,504,0.001004,0.661325,0.662329
2024-12-06T20:20:26.543916,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T20:20:26.751098,send_encrypted,312,504,0.001006,0.203152,0.204159
2024-12-06T20:21:06.374939,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:21:07.623793,send_encrypted,314,504,0.001003,1.245857,1.246860
2024-12-06T20:21:40.343162,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:21:40.498035,send_encrypted,314,504,0.001000,0.152873,0.153873
2024-12-06T20:23:26.331099,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:23:27.223620,send_encrypted,314,504,0.000998,0.889946,0.890944
2024-12-06T20:24:06.958600,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T20:24:08.778490,send_encrypted,314,504,0.000998,1.813174,1.814172
